product_id,shop_id,shop_name,district,category,brand,model,specifications,price_lkr,stock_status,warranty,last_updated,verified,shop_name_shop,district_shop,city_address,latitude,longitude,average_rating,reviews_count,verified_shop,shop_type
P0006,GAM025,Chama Computers- Minuwangoda | Chama BlazeeX Store,Gampaha,SSD,Kingston,250GB,"250GB, SATA",17124,In Stock,12 Months,2025-09-24,No,Chama Computers- Minuwangoda | Chama BlazeeX Store,Gampaha,"110, 01/01 Veyangoda Rd, Minuwangoda 11550, Sri Lanka",7.169452499999998,79.9526261,4.8,1139.0,Maybe,product_shop
P0006,GAM025,Chama Computers- Minuwangoda | Chama BlazeeX Store,Gampaha,SSD,Kingston,250GB,"250GB, SATA",17124,In Stock,12 Months,2025-09-24,No,KSV COMPUTER,Gampaha,"234, 11a විරසේකර පුර, 11650, Sri Lanka",6.9438527,79.9882579,5.0,11.0,Maybe,repair_shop
P0007,GAL093,SubaN Technologies,Galle,CPU,Intel,i7-13700K,"Intel i7-13700K, 6 cores",130580,In Stock,12 Months,2025-09-24,Yes,SubaN Technologies,Galle,"L.A Nalinda Niroshan, 721/E, MountianHall Watta, Ambalanwatta, Galle 80000, Sri Lanka",6.0590249,80.2353767,5.0,43.0,Maybe,product_shop
P0007,GAL093,SubaN Technologies,Galle,CPU,Intel,i7-13700K,"Intel i7-13700K, 6 cores",130580,In Stock,12 Months,2025-09-24,Yes,SubaN Technologies,Galle,"L.A Nalinda Niroshan, 721/E, MountianHall Watta, Ambalanwatta, Galle 80000, Sri Lanka",6.0590249,80.2353767,5.0,43.0,Maybe,repair_shop
P0008,ANU300,Ceylon Computer Service,Anuradhapura,RAM,Crucial,16GB DDR5,"16GB DDR5, 3600MHz",6943,In Stock,6 Months,2025-09-24,No,Ceylon Computer Service,Anuradhapura,"8CF4+H6F, Anuradhapura, Sri Lanka",8.323948099999999,80.4055321,5.0,3.0,Maybe,product_shop
P0008,ANU300,Ceylon Computer Service,Anuradhapura,RAM,Crucial,16GB DDR5,"16GB DDR5, 3600MHz",6943,In Stock,6 Months,2025-09-24,No,Win Max Computers,Anuradhapura,"573W+PH2, Tambuttegama, Sri Lanka",8.1542502,80.296403,5.0,3.0,Maybe,repair_shop
P0009,GAM028,Softnet Computers,Gampaha,GPU,Gigabyte,RTX 4070,"12GB GDDR6, Dual Fan",209722,In Stock,24 Months,2025-09-24,Yes,Softnet Computers,Gampaha,"537D Chilaw - Colombo Main Rd, Negombo 11500, Sri Lanka",7.2290959,79.8506846,4.8,167.0,Maybe,product_shop
P0009,GAM028,Softnet Computers,Gampaha,GPU,Gigabyte,RTX 4070,"12GB GDDR6, Dual Fan",209722,In Stock,24 Months,2025-09-24,Yes,OneMac,Gampaha,"30 Dr Lester James Peries Mawatha, Colombo 00500, Sri Lanka",6.8869544,79.8609316,4.9,663.0,Maybe,repair_shop
P0010,GAM029,Green Tech Computers Pvt LTD,Gampaha,PSU,Cooler Master,650W,"650W, 80+ Gold",10168,In Stock,6 Months,2025-09-24,Maybe,Green Tech Computers Pvt LTD,Gampaha,"Wardcity, Gampaha 11000, Sri Lanka",7.0934127,79.9975575,4.8,101.0,Maybe,product_shop
P0010,GAM029,Green Tech Computers Pvt LTD,Gampaha,PSU,Cooler Master,650W,"650W, 80+ Gold",10168,In Stock,6 Months,2025-09-24,Maybe,Chamara Technologies,Gampaha,"Athurugiriya Rd, Hokandara, Sri Lanka",6.8837708,79.9709976,4.9,231.0,Maybe,repair_shop
P0011,KUR260,Bitwin Computers,Kurunegala,GPU,Zotac,RTX 4070,"8GB GDDR6, Dual Fan",601969,In Stock,12 Months,2025-09-24,No,Bitwin Computers,Kurunegala,"MC Plaza, 43 Ground Floor, Kurunegala 60000, Sri Lanka",7.4874458,80.3648645,5.0,5.0,Maybe,product_shop
P0011,KUR260,Bitwin Computers,Kurunegala,GPU,Zotac,RTX 4070,"8GB GDDR6, Dual Fan",601969,In Stock,12 Months,2025-09-24,No,ASUS Exclusive Store - Kurunegala,Kurunegala,"No:06/1, Maliga Ground Complex, No:06 Dambulla Rd, Kurunegala 60000, Sri Lanka",7.4912847,80.3657116,5.0,12.0,Maybe,repair_shop
P0012,GAL093,SubaN Technologies,Galle,SSD,Adata,500GB,"500GB, SATA",17429,Out of Stock,6 Months,2025-09-24,Yes,SubaN Technologies,Galle,"L.A Nalinda Niroshan, 721/E, MountianHall Watta, Ambalanwatta, Galle 80000, Sri Lanka",6.0590249,80.2353767,5.0,43.0,Maybe,product_shop
P0012,GAL093,SubaN Technologies,Galle,SSD,Adata,500GB,"500GB, SATA",17429,Out of Stock,6 Months,2025-09-24,Yes,SubaN Technologies,Galle,"L.A Nalinda Niroshan, 721/E, MountianHall Watta, Ambalanwatta, Galle 80000, Sri Lanka",6.0590249,80.2353767,5.0,43.0,Maybe,repair_shop
P0013,JAF137,Apptimate ERP and POS,Jaffna,GPU,NVIDIA,GTX 1660,"8GB GDDR6, Triple Fan",522184,Out of Stock,36 Months,2025-09-24,Yes,Apptimate ERP and POS,Jaffna,"2nd Floor, RK Square, Jaffna-Kankesanturai Rd, යාපනය 40000, Sri Lanka",9.763789,80.0293748,5.0,30.0,Maybe,product_shop
P0013,JAF137,Apptimate ERP and POS,Jaffna,GPU,NVIDIA,GTX 1660,"8GB GDDR6, Triple Fan",522184,Out of Stock,36 Months,2025-09-24,Yes,Vijay Multy Shop,Jaffna,"Inuvil Hindu college, Road, Uduvil, Sri Lanka",9.7223649,80.0142889,5.0,11.0,Maybe,repair_shop
P0014,MAT106,Modern Informatics,Matara,PSU,Thermaltake,750W,"750W, 80+ Gold",22040,Out of Stock,24 Months,2025-09-24,Yes,Modern Informatics,Matara,"Hittatiya Central Kajjuwatthe Road Wewala Watthe, Matara, Sri Lanka",5.9589821,80.53446919999999,5.0,225.0,Maybe,product_shop
P0014,MAT106,Modern Informatics,Matara,PSU,Thermaltake,750W,"750W, 80+ Gold",22040,Out of Stock,24 Months,2025-09-24,Yes,Modern Informatics,Matara,"Hittatiya Central Kajjuwatthe Road Wewala Watthe, Matara, Sri Lanka",5.9589821,80.5344692,5.0,225.0,Maybe,repair_shop
P0015,BAT229,Poorna Studio & Communication,Batticaloa,PSU,Thermaltake,850W,"850W, 80+ Platinum",18102,Out of Stock,24 Months,2025-09-24,No,Poorna Studio & Communication,Batticaloa,"Main Streat Cheddipalayam - North, 30194, Sri Lanka",7.583326199999999,81.783734,5.0,6.0,Maybe,product_shop
P0015,BAT229,Poorna Studio & Communication,Batticaloa,PSU,Thermaltake,850W,"850W, 80+ Platinum",18102,Out of Stock,24 Months,2025-09-24,No,DOCSYS Solutions (Pvt) Ltd.,Batticaloa,"Sausiri Building, Aluthwewa Rd, Polonnaruwa 51000, Sri Lanka",7.9143486,81.0025176,5.0,22.0,Maybe,repair_shop
P0016,COL015,iDeal Computers,Colombo,SSD,Samsung,2TB,"2TB, NVMe PCIe 4.0",38889,Out of Stock,12 Months,2025-09-24,Maybe,iDeal Computers,Colombo,"Bauddhaloka Mawatha, Gampaha, Sri Lanka",7.091633,79.9974605,4.8,93.0,Maybe,product_shop
P0016,COL015,iDeal Computers,Colombo,SSD,Samsung,2TB,"2TB, NVMe PCIe 4.0",38889,Out of Stock,12 Months,2025-09-24,Maybe,OneMac,Colombo,"30 Dr Lester James Peries Mawatha, Colombo 00500, Sri Lanka",6.8869544,79.8609316,4.9,663.0,Maybe,repair_shop
P0017,MAT107,SENIFIC IT-mart,Matara,Motherboard,MSI,Z690,"Z690 chipset, mATX",166291,In Stock,24 Months,2025-09-24,No,SENIFIC IT-mart,Matara,"No.2/DC wanigasekara road, Akuressa 81400, Sri Lanka",6.1004808,80.4773494,5.0,34.0,Maybe,product_shop
P0017,MAT107,SENIFIC IT-mart,Matara,Motherboard,MSI,Z690,"Z690 chipset, mATX",166291,In Stock,24 Months,2025-09-24,No,Modern Informatics - Show Room,Matara,"XGMC+WC5, Matara - Akuressa Hwy, Palatuwa, Sri Lanka",5.9847589,80.5210988,5.0,46.0,Maybe,repair_shop
P0018,JAF144,Nalin IT,Jaffna,RAM,Kingston,16GB DDR4,"16GB DDR4, 3600MHz",15517,In Stock,12 Months,2025-09-24,No,Nalin IT,Jaffna,"51 Stanley Rd, Jaffna, Sri Lanka",9.6692791,80.01235799999999,,,Maybe,product_shop
P0018,JAF144,Nalin IT,Jaffna,RAM,Kingston,16GB DDR4,"16GB DDR4, 3600MHz",15517,In Stock,12 Months,2025-09-24,No,Micro Computers,Jaffna,"175/3 Kasthuriyar Rd, Jaffna, Sri Lanka",9.669744,80.0113703,5.0,3.0,Maybe,repair_shop
P0019,KUR265,PCHUT,Kurunegala,GPU,AMD,RTX 3060,"12GB GDDR6, Dual Fan",466477,Out of Stock,12 Months,2025-09-24,Yes,PCHUT,Kurunegala,"F9Q7+864, Katugastota - Kurunegala - Puttalam Hwy, Kurunegala, Sri Lanka",7.488258999999998,80.3630866,5.0,1.0,Maybe,product_shop
P0019,KUR265,PCHUT,Kurunegala,GPU,AMD,RTX 3060,"12GB GDDR6, Dual Fan",466477,Out of Stock,12 Months,2025-09-24,Yes,Tech Wizards Computers,Kurunegala,"293 Kurunegala - Dambulla Rd, Kurunegala 60000, Sri Lanka",7.4957904,80.3717801,5.0,2.0,Maybe,repair_shop
P0020,ANU293,Next Gen Technology service,Anuradhapura,RAM,Kingston,8GB DDR4,"8GB DDR4, 3200MHz",8159,In Stock,6 Months,2025-09-24,No,Next Gen Technology service,Anuradhapura,"66 Kurunegala Road, Tambuttegama 50240, Sri Lanka",8.1529202,80.2957385,5.0,6.0,Maybe,product_shop
P0020,ANU293,Next Gen Technology service,Anuradhapura,RAM,Kingston,8GB DDR4,"8GB DDR4, 3200MHz",8159,In Stock,6 Months,2025-09-24,No,Y-Tech Solution,Anuradhapura,"No.376, Bus Stand, Tambuttegama 50240, Sri Lanka",8.1564933,80.2967992,5.0,8.0,Maybe,repair_shop
P0021,KUR264,Cyber Computers,Kurunegala,Laptop,Dell,VivoBook,"32GB RAM, 512GB SSD, i7",251359,In Stock,24 Months,2025-09-24,No,Cyber Computers,Kurunegala,"No.49C, Negombo Road, 44 Negombo Rd, Kurunegala 60000, Sri Lanka",7.4878,80.3609847,5.0,1.0,Maybe,product_shop
P0021,KUR264,Cyber Computers,Kurunegala,Laptop,Dell,VivoBook,"32GB RAM, 512GB SSD, i7",251359,In Stock,24 Months,2025-09-24,No,Pc Fix Digital solution & Computers,Kurunegala,"Mallawapitiya-Rambodagalla-Keppetigala Rd, Panagamuwa, Sri Lanka",7.4949886,80.5131537,5.0,2.0,Maybe,repair_shop
P0022,ANU297,STM Computers,Anuradhapura,RAM,G.Skill,16GB DDR4,"16GB DDR4, 3200MHz",15156,Out of Stock,24 Months,2025-09-24,Yes,STM Computers,Anuradhapura,"37PF+CRG, Galgamuwa, Sri Lanka",8.0860744,80.2745626,5.0,3.0,Maybe,product_shop
P0022,ANU297,STM Computers,Anuradhapura,RAM,G.Skill,16GB DDR4,"16GB DDR4, 3200MHz",15156,Out of Stock,24 Months,2025-09-24,Yes,Win English academy,Anuradhapura,"Tammannawa-Galenbindunuwewa Rd, Galenbindunuwewa 50382, Sri Lanka",8.3177945,80.6745134,5.0,6.0,Maybe,repair_shop
P0023,KUR265,PCHUT,Kurunegala,Laptop,Apple,Inspiron,"16GB RAM, 256GB SSD, Ryzen 5",419224,In Stock,6 Months,2025-09-24,Yes,PCHUT,Kurunegala,"F9Q7+864, Katugastota - Kurunegala - Puttalam Hwy, Kurunegala, Sri Lanka",7.488258999999998,80.3630866,5.0,1.0,Maybe,product_shop
P0023,KUR265,PCHUT,Kurunegala,Laptop,Apple,Inspiron,"16GB RAM, 256GB SSD, Ryzen 5",419224,In Stock,6 Months,2025-09-24,Yes,Tech Wizards Computers,Kurunegala,"293 Kurunegala - Dambulla Rd, Kurunegala 60000, Sri Lanka",7.4957904,80.3717801,5.0,2.0,Maybe,repair_shop
P0024,BAT235,KEE TECH,Batticaloa,RAM,Corsair,8GB DDR4,"8GB DDR4, 3600MHz",21118,Out of Stock,12 Months,2025-09-24,No,KEE TECH,Batticaloa,"Amman Kovil Road, Kurumanveli-12, களுவாஞ்சிக்குடி 20300, Sri Lanka",7.490497299999999,81.7807541,5.0,2.0,Maybe,product_shop
P0024,BAT235,KEE TECH,Batticaloa,RAM,Corsair,8GB DDR4,"8GB DDR4, 3600MHz",21118,Out of Stock,12 Months,2025-09-24,No,MPC ( Mobile Phone & Computer Repairing Centre),Batticaloa,"Hospital Rd, Nintavur 04, Sri Lanka",7.3531236,81.8560017,5.0,4.0,Maybe,repair_shop
P0025,KAN059,M ZONE PC Solutions,Kandy,Monitor,Dell,27-inch QHD,"27-inch QHD, 240Hz",37777,In Stock,24 Months,2025-09-24,Yes,M ZONE PC Solutions,Kandy,"No.139 Market Road, Kadugannawa 20300, Sri Lanka",7.2567049,80.5216238,4.9,11.0,Maybe,product_shop
P0025,KAN059,M ZONE PC Solutions,Kandy,Monitor,Dell,27-inch QHD,"27-inch QHD, 240Hz",37777,In Stock,24 Months,2025-09-24,Yes,TITAN Computers Technologies,Kandy,"maberiya junction digana rajawalla, Digana 20180, Sri Lanka",7.2930728,80.7490973,5.0,5.0,Maybe,repair_shop
P0026,GAM022,Nanotek Computer Solutions,Gampaha,Motherboard,ASUS,Z690,"Z690 chipset, mATX",64892,In Stock,24 Months,2025-09-24,Yes,Nanotek Computer Solutions,Gampaha,"No:37 School Ln, Colombo 00300, Sri Lanka",6.8968918,79.8563961,4.9,754.0,Maybe,product_shop
P0026,GAM022,Nanotek Computer Solutions,Gampaha,Motherboard,ASUS,Z690,"Z690 chipset, mATX",64892,In Stock,24 Months,2025-09-24,Yes,T&N COMPUTERS,Gampaha,"102 Magulpokuna Rd, Ragama, Sri Lanka",7.0297988,79.9104176,5.0,32.0,Maybe,repair_shop
P0027,BAT229,Poorna Studio & Communication,Batticaloa,CPU,Intel,i5-12400F,"Intel i5-12400F, 12 cores",29039,In Stock,24 Months,2025-09-24,Yes,Poorna Studio & Communication,Batticaloa,"Main Streat Cheddipalayam - North, 30194, Sri Lanka",7.583326199999999,81.783734,5.0,6.0,Maybe,product_shop
P0027,BAT229,Poorna Studio & Communication,Batticaloa,CPU,Intel,i5-12400F,"Intel i5-12400F, 12 cores",29039,In Stock,24 Months,2025-09-24,Yes,DOCSYS Solutions (Pvt) Ltd.,Batticaloa,"Sausiri Building, Aluthwewa Rd, Polonnaruwa 51000, Sri Lanka",7.9143486,81.0025176,5.0,22.0,Maybe,repair_shop
P0028,JAF150,Smart Pc's,Jaffna,Laptop,HP,Inspiron,"16GB RAM, 1024GB SSD, i5",175223,Out of Stock,12 Months,2025-09-24,Maybe,Smart Pc's,Jaffna,"R622+7C3, Mathiya Maha Vidyalaya Veethi, Karaveddi, Sri Lanka",9.8006382,80.2010422,5.0,1.0,Maybe,product_shop
P0028,JAF150,Smart Pc's,Jaffna,Laptop,HP,Inspiron,"16GB RAM, 1024GB SSD, i5",175223,Out of Stock,12 Months,2025-09-24,Maybe,Nj mass computer repair service center,Jaffna,"Kalaivani lane vadaliyadaippu, Vadaliyadaippu 40000, Sri Lanka",9.7646784,79.9601036,5.0,1.0,Maybe,repair_shop
P0029,TRI223,M-TECH,Trincomalee,Laptop,Apple,GF63,"16GB RAM, 512GB SSD, i5",193503,Out of Stock,12 Months,2025-09-24,Maybe,M-TECH,Trincomalee,"Puthukkudiyiruppu, Kinniya 05, Kinniya 31100, Sri Lanka",8.4737906,81.1666454,5.0,2.0,Maybe,product_shop
P0029,TRI223,M-TECH,Trincomalee,Laptop,Apple,GF63,"16GB RAM, 512GB SSD, i5",193503,Out of Stock,12 Months,2025-09-24,Maybe,අකිල Electronics,Trincomalee,"58/B/1 Eksath Mawatha,Galmetiyawa, Mollipothana - Soorangal Rd, Mullipotana 33405, Sri Lanka",8.451327,81.0551517,5.0,4.0,Maybe,repair_shop
P0030,BAT229,Poorna Studio & Communication,Batticaloa,GPU,Zotac,RTX 3060,"16GB GDDR6, Dual Fan",208955,In Stock,6 Months,2025-09-24,No,Poorna Studio & Communication,Batticaloa,"Main Streat Cheddipalayam - North, 30194, Sri Lanka",7.583326199999999,81.783734,5.0,6.0,Maybe,product_shop
P0030,BAT229,Poorna Studio & Communication,Batticaloa,GPU,Zotac,RTX 3060,"16GB GDDR6, Dual Fan",208955,In Stock,6 Months,2025-09-24,No,DOCSYS Solutions (Pvt) Ltd.,Batticaloa,"Sausiri Building, Aluthwewa Rd, Polonnaruwa 51000, Sri Lanka",7.9143486,81.0025176,5.0,22.0,Maybe,repair_shop
P0031,GAM019,Sky Computer Branch,Gampaha,CPU,AMD,Ryzen 7 5800X,"AMD Ryzen 7 5800X, 8 cores",81392,In Stock,36 Months,2025-09-24,Yes,Sky Computer Branch,Gampaha,"6R4V+MRM, St Joseph's St, Negombo, Sri Lanka",7.206712,79.8445382,5.0,2.0,Maybe,product_shop
P0031,GAM019,Sky Computer Branch,Gampaha,CPU,AMD,Ryzen 7 5800X,"AMD Ryzen 7 5800X, 8 cores",81392,In Stock,36 Months,2025-09-24,Yes,Fixme Laptop Repair Centre,Gampaha,"94/2/1 Ja Ela-Ekala-Gampaha-Yakkala Hwy, Gampaha 11000, Sri Lanka",7.0925909,79.9922688,5.0,83.0,Maybe,repair_shop
P0032,GAL099,Nuwanka Tech computers,Galle,Motherboard,Gigabyte,Z690,"Z690 chipset, ATX",139603,Out of Stock,36 Months,2025-09-24,No,Nuwanka Tech computers,Galle,"Gonapinuwala, Sri Lanka",6.1472791,80.1394121,5.0,10.0,Maybe,product_shop
P0032,GAL099,Nuwanka Tech computers,Galle,Motherboard,Gigabyte,Z690,"Z690 chipset, ATX",139603,Out of Stock,36 Months,2025-09-24,No,TechWave Technologies,Galle,"Galle - Baddegama Rd, Sandarawala, Sri Lanka",6.1568541,80.1829876,5.0,14.0,Maybe,repair_shop
P0033,GAL102,ROCO COMPUTERS,Galle,PSU,Seasonic,850W,"850W, 80+ Bronze",21449,Out of Stock,12 Months,2025-09-24,Yes,ROCO COMPUTERS,Galle,"Asirisewana, Galle 80120, Sri Lanka",6.053505299999999,80.2209577,5.0,4.0,Maybe,product_shop
P0033,GAL102,ROCO COMPUTERS,Galle,PSU,Seasonic,850W,"850W, 80+ Bronze",21449,Out of Stock,12 Months,2025-09-24,Yes,GK COMPUTERS BADDEGAMA,Galle,"sandarawala junction, gk computers, galle road, Baddegama 80200, Sri Lanka",6.1546969,80.1838743,5.0,9.0,Maybe,repair_shop
P0034,JAF137,Apptimate ERP and POS,Jaffna,Motherboard,ASRock,X570,"X570 chipset, mATX",133615,In Stock,12 Months,2025-09-24,Maybe,Apptimate ERP and POS,Jaffna,"2nd Floor, RK Square, Jaffna-Kankesanturai Rd, යාපනය 40000, Sri Lanka",9.763789,80.0293748,5.0,30.0,Maybe,product_shop
P0034,JAF137,Apptimate ERP and POS,Jaffna,Motherboard,ASRock,X570,"X570 chipset, mATX",133615,In Stock,12 Months,2025-09-24,Maybe,Vijay Multy Shop,Jaffna,"Inuvil Hindu college, Road, Uduvil, Sri Lanka",9.7223649,80.0142889,5.0,11.0,Maybe,repair_shop
P0035,MAT115,Richson Computers,Matara,PSU,Cooler Master,650W,"650W, 80+ Gold",39208,In Stock,6 Months,2025-09-24,No,Richson Computers,Matara,"5M4X+4CJ, Walasmulla, Sri Lanka",6.155329099999999,80.6985121,5.0,3.0,Maybe,product_shop
P0035,MAT115,Richson Computers,Matara,PSU,Cooler Master,650W,"650W, 80+ Gold",39208,In Stock,6 Months,2025-09-24,No,Malin Jay Technology - MJT,Matara,"No 40/A Ganegawatta, Deiyandara 81320, Sri Lanka",6.1457557,80.6097721,5.0,12.0,Maybe,repair_shop
P0036,GAL092,Fa Technology,Galle,CPU,Intel,Ryzen 7 5800X,"Intel Ryzen 7 5800X, 8 cores",146755,Out of Stock,24 Months,2025-09-24,Yes,Fa Technology,Galle,"470 Matara Rd, Galle 80000, Sri Lanka",6.033036699999999,80.23852649999999,5.0,214.0,Maybe,product_shop
P0036,GAL092,Fa Technology,Galle,CPU,Intel,Ryzen 7 5800X,"Intel Ryzen 7 5800X, 8 cores",146755,Out of Stock,24 Months,2025-09-24,Yes,iFix Technology (PVT) LTD,Galle,"68,e sri vajirajana mawatta, Weligama 81700, Sri Lanka",5.9751982,80.4313766,5.0,380.0,Maybe,repair_shop
P0037,KAN050,Random Pc,Kandy,Laptop,Apple,Inspiron,"16GB RAM, 1024GB SSD, i5",376282,Out of Stock,24 Months,2025-09-24,No,Random Pc,Kandy,"205/3 Hinnarandeniya, Gampola, Sri Lanka",7.185124399999999,80.587981,5.0,10.0,Maybe,product_shop
P0037,KAN050,Random Pc,Kandy,Laptop,Apple,Inspiron,"16GB RAM, 1024GB SSD, i5",376282,Out of Stock,24 Months,2025-09-24,No,Mac solution House (Pvt) Ltd . —— MacBook and iMac repair center,Kandy,"Gurudeniya 20189, Sri Lanka",7.2691405,80.6883165,5.0,39.0,Maybe,repair_shop
P0038,COL006,MSK COMPUTERS,Colombo,Laptop,HP,MacBook Air,"16GB RAM, 256GB SSD, Ryzen 7",116462,In Stock,12 Months,2025-09-24,No,MSK COMPUTERS,Colombo,"296/3/b, Delpe Junction, Ragama 10100, Sri Lanka",7.021058999999999,79.9346673,4.9,1143.0,Maybe,product_shop
P0038,COL006,MSK COMPUTERS,Colombo,Laptop,HP,MacBook Air,"16GB RAM, 256GB SSD, Ryzen 7",116462,In Stock,12 Months,2025-09-24,No,Smart Moves & Repairs,Colombo,"48/1 D. M. Colombage Mawatha, Colombo 05 00500, Sri Lanka",6.8826195,79.8825876,5.0,86.0,Maybe,repair_shop
P0039,MAT108,Weligama Winux Computer,Matara,Motherboard,ASRock,X570,"X570 chipset, ATX",152553,In Stock,12 Months,2025-09-24,Maybe,Weligama Winux Computer,Matara,"new shopping complex, 26 1st floor, Weligama 81700, Sri Lanka",5.974308799999999,80.4293445,5.0,21.0,Maybe,product_shop
P0039,MAT108,Weligama Winux Computer,Matara,Motherboard,ASRock,X570,"X570 chipset, ATX",152553,In Stock,12 Months,2025-09-24,Maybe,SubaN Technologies,Matara,"L.A Nalinda Niroshan, 721/E, MountianHall Watta, Ambalanwatta, Galle 80000, Sri Lanka",6.0590249,80.2353767,5.0,43.0,Maybe,repair_shop
P0040,TRI215,NGT LANKA,Trincomalee,Motherboard,ASUS,Z690,"Z690 chipset, Mini-ITX",21275,In Stock,6 Months,2025-09-24,No,NGT LANKA,Trincomalee,"Arabic Collage Road Mutur - 05, Mutur 31200, Sri Lanka",8.4500858,81.259824,5.0,6.0,Maybe,product_shop
P0040,TRI215,NGT LANKA,Trincomalee,Motherboard,ASUS,Z690,"Z690 chipset, Mini-ITX",21275,In Stock,6 Months,2025-09-24,No,PHILIPTRONIKS REPAIR SOLUTIONS,Trincomalee,"No: 493 3rd Lane, Vavuniya 43000, Sri Lanka",8.7770596,80.4818591,5.0,13.0,Maybe,repair_shop
P0041,GAM026,Winsoft Technologies,Gampaha,Laptop,Apple,MacBook Air,"16GB RAM, 1024GB SSD, i5",447241,Out of Stock,36 Months,2025-09-24,No,Winsoft Technologies,Gampaha,"No.313, 1st Floor, Unity Plaza, Colombo 00400, Sri Lanka",6.893556599999999,79.8552468,4.8,861.0,Maybe,product_shop
P0041,GAM026,Winsoft Technologies,Gampaha,Laptop,Apple,MacBook Air,"16GB RAM, 1024GB SSD, i5",447241,Out of Stock,36 Months,2025-09-24,No,PC Clinic / PCC - Kadawatha,Gampaha,"172, 12F Kandy Rd, Kadawatha 11850, Sri Lanka",7.001567,79.9504119,4.9,1073.0,Maybe,repair_shop
P0042,MAT119,Enter C,Matara,CPU,Intel,i7-13700K,"Intel i7-13700K, 6 cores",149451,In Stock,24 Months,2025-09-24,No,Enter C,Matara,"Issadeen Town, Matara 81000, Sri Lanka",5.9559321,80.53213219999999,5.0,2.0,Maybe,product_shop
P0042,MAT119,Enter C,Matara,CPU,Intel,i7-13700K,"Intel i7-13700K, 6 cores",149451,In Stock,24 Months,2025-09-24,No,Tharanga Computers,Matara,"WGXW+V9V, Matara, Sri Lanka",5.949746,80.5459079,5.0,6.0,Maybe,repair_shop
